DP_SECONDARY_ID,Primary Care Service Area (PCSA) Label,Primary Care Service Area ID,State Abbreviation,Total Primary Care Providers (PCPs),Non-Institutionalized Population,Ratio of Non-Institutionalized Population to Total Number of Primary Care Providers,Percent of PCSA in Rural Area,Population Age 0-14 Years,Population Age 15-64 Years,Population Age 65 Years or Greater,Percent of Population Age 0-14 Years,Percent of Population Age 15-64 Years,Percent of Population Age 65 Years or Greater,Population Male,Population Female,Percent of Population Male,Percent of Population Female,Percent of Population Black,Percent of Population Hispanic,Percent of Population Non-Black,Percent of Population Non-Hispanic,Percent of Population Non-White,Percent of Population White,Number of Women of Childbearing Age,Population American Indian and Alaska Native Alone,Population Asian Alone,Population Native Hawaiian and Other Pacific Islander Alone,Families for Whom Poverty Status was Determined,Families with Income Below 1.00 Times the U.S. Federal Poverty Level Percent of Total by Primary Care Service Area,Percent of Population with Known Income Below 1.00 Times the U.S. Poverty Guidelines by Primary Care Service Area,Percent of Population with Known Income Below 2.00 Times the U.S. Poverty Guidelines by Primary Care Service Area,Population Density,Rural Population,Total Population,Preference Index,Localization Index,Number of Primary Care Physicians,Number of Primary Care Physicians, Non-Federal,Number of Specialist Physicians, Non-Federal,Number of OB-GYN Physicians, Non-Federal,Number of Primary Care Physician Assistants,Number of GP/IM/Pediatric Physician Assistants,Number of OB/GYN Physician Assistants,Number of Physician Assistants with Specialty as Geriatrics or Unknown,Number of Dentists, Non-Federal, Full-Time Practice,Number of Dentists, Non-Federal, Part-Time Practice,Primary Care FTE Physicians for MUA or HPSA Purposes,Crude Rate: Primary Care Physicians, Clinically Active,Population Per Clinically Active Primary Care Physician,Number of Federally Qualified Health Center Look Alikes Located in PCSA,Number of Federally Qualified Health Centers Located in PCSA,Number of Tribal Run Sites Located in PCSA,Number of Indian Health Service Sites Located in PCSA,Number of Rural Health Clinics Located in PCSA,
"06067009611","CA00_ELK GROVE","06067009611","CA","284","324231","1,142:1","0.0","84343","227675","29992","8.70","66.57","8.77","166939","175071","48.81","51.19","14.80","23.45","85.20","76.55","61.12","38.88","74473","2671","87903","6122","78666","8517","14.07","32.73","1287.1125","14883","342010","0.4758","0.4691","260","253","290","54","24","18","0","6","155","24","326.30","76.0212","1315.4231","2","4","0","0","0"
"06067008117","CA00_CARMICHAEL","06067008117","CA","233","451924","1,940:1","0.0","91248","304381","59358","6.83","66.90","13.05","220981","234006","48.57","51.43","6.20","15.71","93.80","84.29","26.27","73.73","91540","4429","29714","2566","116461","10302","11.95","29.09","1638.8117","3901","454987","0.5127","0.5266","199","186","315","20","34","12","1","21","218","51","213.20","43.7375","2286.3668","1","4","0","0","0"
"06073012700","CA02_CHULA VISTA","06073012700","CA","104","93186","896:1","0.0","21809","67534","13032","7.45","65.97","12.73","49373","53002","48.23","51.77","4.13","70.95","95.87","29.05","44.30","55.70","22101","965","6646","525","22836","3195","16.89","43.66","8253.2545","0","102375","0.4526","0.4508","97","93","97","9","7","3","0","4","76","10","105.40","94.7497","1055.4124","0","10","0","0","0"
"06073017200","CA00_DEL MAR","06073017200","CA","9","10534","1,170:1","0.0","1430","7111","2205","5.29","66.17","20.52","5338","5408","49.67","50.33","0.52","4.98","99.48","95.02","10.62","89.38","1691","23","643","8","3135","111","4.01","5.92","2830.1493","0","10746","0.2156","0.2522","8","8","24","0","1","0","0","1","12","2","8.00","74.4463","1343.2500","","","","",""
"06073017303","CA00_SOLANA BEACH","06073017303","CA","12","8518","710:1","0.0","1289","6013","1224","5.04","70.53","14.36","4287","4239","50.28","49.72","0.40","20.92","99.60","79.08","16.44","83.56","1741","49","267","16","1977","124","9.77","22.82","4068.5589","0","8526","0.1790","0.1806","12","12","25","1","0","0","0","0","27","3","14.10","140.7460","710.5000","","","","",""
"04013104217","AZ00_GLENDALE","04013104217","AZ","318","508824","1,600:1","0.0","122838","336668","43296","8.31","66.96","8.61","248650","254152","49.45","50.55","4.91","41.43","95.09","58.57","32.61","67.39","107984","8490","15075","857","121218","15875","17.00","39.19","5021.7363","0","502802","0.5235","0.5056","261","257","372","49","57","38","1","18","211","26","327.00","51.9091","1926.4444","3","6","0","0","0"
"04013109002","AZ10_PHOENIX","04013109002","AZ","21","20950","998:1","0.0","5685","13251","1161","8.16","65.94","5.78","10298","9799","51.24","48.76","8.04","58.90","91.96","41.10","40.39","59.61","4551","914","664","36","4334","1293","29.79","65.00","8704.1846","0","20097","0.2008","0.2391","16","16","9","2","5","4","0","1","4","0","21.30","79.6139","1256.0625","","","","",""
"04013216810","AZ01_SCOTTSDALE","04013216810","AZ","397","211501","533:1","5.1","34636","140439","40954","6.15","65.01","18.96","104472","111557","48.36","51.64","1.24","5.11","98.76","94.89","8.65","91.35","34466","1577","7873","139","61175","2032","4.88","11.32","157.4636","16705","216029","0.6584","0.6736","355","343","975","73","42","22","3","17","228","42","452.80","164.3298","608.5324","0","1","0","0","0"
"04013319404","AZ00_TEMPE","04013319404","AZ","171","240362","1,406:1","0.0","43504","179234","20196","5.45","73.78","8.31","124280","118654","51.16","48.84","6.11","29.09","93.89","70.91","31.46","68.54","59398","8867","10440","1232","52148","6649","19.20","39.03","4832.3768","0","242934","0.5102","0.4836","140","139","381","27","31","23","0","8","145","21","168.90","57.6288","1735.2429","1","2","0","0","0"
"04013723306","AZ00_MARICOPA","04013723306","AZ","6","48302","8,050:1","61.8","16021","42615","4085","7.69","67.94","6.51","33948","28773","54.13","45.87","8.17","29.42","91.83","70.58","34.28","65.72","12558","2954","1919","140","13019","955","11.01","31.78","19.2042","17677","62721","0.2982","0.2789","4","4","9","4","2","1","0","1","8","1","9.00","6.3774","15680.2500","0","2","0","0","0"
