dp_secondary_id,primary_care_service_area_pcsa_label,primary_care_service_area_id,state_abbreviation,total_primary_care_providers_pcps,non_institutionalized_population,ratio_of_non_institutionalized_population_to_total_number_of_primary_care_providers,percent_of_pcsa_in_rural_area,population_age_0_14_years,population_age_15_64_years,population_age_65_years_or_greater,percent_of_population_age_0_14_years,percent_of_population_age_15_64_years,percent_of_population_age_65_years_or_greater,population_male,population_female,percent_of_population_male,percent_of_population_female,percent_of_population_black,percent_of_population_hispanic,percent_of_population_non_black,percent_of_population_non_hispanic,percent_of_population_non_white,percent_of_population_white,number_of_women_of_childbearing_age,population_american_indian_and_alaska_native_alone,population_asian_alone,population_native_hawaiian_and_other_pacific_islander_alone,families_for_whom_poverty_status_was_determined,families_with_income_below_1_00_times_the_u_s_federal_poverty_level_percent_of_total_by_primary_care_service_area,percent_of_population_with_known_income_below_1_00_times_the_u_s_poverty_guidelines_by_primary_care_service_area,percent_of_population_with_known_income_below_2_00_times_the_u_s_poverty_guidelines_by_primary_care_service_area,population_density,rural_population,total_population,preference_index,localization_index,number_of_primary_care_physicians,number_of_primary_care_physicians_1,non_federal,number_of_specialist_physicians,non_federal_1,number_of_ob_gyn_physicians,non_federal_2,number_of_primary_care_physician_assistants,number_of_gp_im_pediatric_physician_assistants,number_of_ob_gyn_physician_assistants,number_of_physician_assistants_with_specialty_as_geriatrics_or_unknown,number_of_dentists,non_federal_3,full_time_practice,number_of_dentists_1,non_federal_4,part_time_practice,primary_care_fte_physicians_for_mua_or_hpsa_purposes,crude_rate_primary_care_physicians,clinically_active,population_per_clinically_active_primary_care_physician,number_of_federally_qualified_health_center_look_alikes_located_in_pcsa,number_of_federally_qualified_health_centers_located_in_pcsa,number_of_tribal_run_sites_located_in_pcsa,number_of_indian_health_service_sites_located_in_pcsa,number_of_rural_health_clinics_located_in_pcsa,x64
06037406702,CA01_WEST COVINA,06037406702,CA,239,267592,"1,120:1",0,61027,182979,25529,8.2,67.89,9.47,132976,136559,49.34,50.66,2.4,73.03,97.6,26.97,55.76,44.24,59550,2588,45652,392,56906,5437,12.03,37.75,8307.647,0,269535,0.3684,0.3668,201,200,293,40,38,17,1,20,112,8,248.4,74.5729,1340.9701,0,11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037139401,CA00_TARZANA,06037139401,CA,358,269642,753:1,0,45794,188015,41036,5.55,68.41,14.93,133255,141590,48.48,51.52,4.04,17.97,95.96,82.03,23.68,76.32,55620,978,19688,272,67305,3492,8.35,21.18,3127.497,4129,274845,0.5164,0.5531,331,330,749,71,27,6,2,19,368,69,424.1,120.4315,830.3474,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037211802,CA01_LOS ANGELES,06037211802,CA,319,434993,"1,364:1",0,83643,326652,38366,5.95,72.81,8.55,229397,219264,51.13,48.87,10.68,59.9,89.32,40.1,69.42,30.58,108262,4780,91993,491,89561,24338,30.43,62.56,22666.9535,0,448661,0.6161,0.6976,264,259,402,50,55,24,4,27,323,36,324.1,58.8418,1699.4735,3,38,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037602103,CA00_HAWTHORNE,06037602103,CA,44,98520,"2,239:1",0,24919,69203,6102,8.25,69.05,6.09,49501,50723,49.39,50.61,20.62,67.99,79.38,32.01,67.05,32.95,24515,782,3869,1004,21317,4465,21.86,49.59,18067.0552,0,100224,0.2234,0.2518,34,33,30,2,10,3,1,6,30,7,40.4,33.924,2947.7647,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037127804,CA00_VAN NUYS,06037127804,CA,222,198112,892:1,0,47201,139057,14060,7.6,69.42,7.02,101288,99030,50.56,49.44,4.39,68.5,95.61,31.5,54.14,45.86,46896,1557,20817,232,43638,9416,24.29,55.54,14814.5056,0,200318,0.3974,0.4145,208,206,305,35,14,8,1,5,79,8,250.5,103.8349,963.0673,0,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06041101200,CA00_NOVATO,06041101200,CA,54,56548,"1,047:1",0,10799,38346,9507,6.28,65.38,16.21,28396,30256,48.41,51.59,2.51,19.93,97.49,80.07,22.48,77.52,9869,308,3674,124,15307,716,7.44,16.71,1014.7183,5593,58652,0.595,0.5964,52,51,78,6,2,1,1,0,46,6,59.2,88.6585,1127.9231,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06061023500,CA00_LINCOLN,06061023500,CA,37,43507,"1,176:1",0,9867,27354,10887,6.09,56.86,22.63,23277,24831,48.38,51.62,1.34,17.1,98.66,82.9,19.43,80.57,8076,484,2726,123,12743,621,7.16,22.56,450.4829,5144,48108,0.5767,0.6125,35,33,11,4,2,1,0,1,18,4,37.9,72.753,1374.5143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06065031501,CA02_RIVERSIDE,06065031501,CA,187,193673,"1,036:1",0,47074,134289,17081,8.09,67.67,8.61,98648,99796,49.71,50.29,4.67,59.54,95.33,40.46,43.61,56.39,44538,2447,8338,818,42380,4810,15.29,40.43,1647.4296,4559,198444,0.2871,0.294,163,160,229,37,24,16,1,7,76,16,211.9,82.139,1217.4479,1,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06073020601,CA01_ESCONDIDO,06073020601,CA,88,128753,"1,463:1",0,27552,90328,16168,6.92,67.38,12.06,65811,68237,49.1,50.9,2.46,37.18,97.54,62.82,33.87,66.13,28449,1196,9273,415,30628,2263,11.98,33.58,1507.4115,1609,134048,0.2769,0.2933,70,69,79,3,18,13,0,5,58,15,77.9,52.2201,1914.9714,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06073015000,CA00_LA MESA,06073015000,CA,291,480487,"1,651:1",40.1,95869,339643,61713,6.62,68.31,12.41,244505,252720,49.17,50.83,6.07,24.81,93.93,75.19,27.88,72.12,100450,5343,21552,2724,121159,10237,11.75,27.7,445.8162,27904,497225,0.5863,0.5996,263,259,286,25,28,19,0,9,209,34,301.2,52.8936,1890.5894,0,35,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06001450743,CA00_PLEASANTON,06001450743,CA,156,93946,602:1,0,22123,73701,10366,7.4,69.4,9.76,53516,52674,50.4,49.6,4.77,11.74,95.23,88.26,39.19,60.81,21099,442,26445,359,24909,490,3.45,9.92,673.9776,1879,106190,0.5101,0.4908,144,141,230,27,12,6,0,6,76,19,180.8,135.606,737.4306,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06007001800,CA00_MAGALIA,06007001800,CA,39,41021,"1,052:1",99.8,5872,25127,9935,5.13,61.38,24.27,19791,21143,48.35,51.65,0.41,6.94,99.59,93.06,8.11,91.89,5759,499,464,50,11401,1033,14,32.65,172.9343,6209,40934,0.6542,0.7127,31,31,52,8,8,7,0,1,17,3,39,75.7317,1320.4516,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06023010901,CA00_FORTUNA,06023010901,CA,26,26404,"1,016:1",53.4,5179,17616,4223,6.36,65.2,15.63,13406,13612,49.62,50.38,0.58,12.88,99.42,87.12,15.89,84.11,4712,1022,220,37,7176,835,16.3,39.9,15.165,9855,27018,0.6924,0.6604,21,20,18,3,5,4,0,1,11,4,22.6,77.726,1286.5714,0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06029001600,CA01_BAKERSFIELD,06029001600,CA,188,347897,"1,851:1",36.8,101463,231789,28010,8.84,64.16,7.75,179800,181462,49.77,50.23,6.49,61.68,93.51,38.32,46.61,53.39,79161,6633,10715,369,78063,16791,25.41,55.16,856.4462,5709,361262,0.5553,0.5452,144,142,228,37,44,24,1,19,86,10,195.5,39.8603,2508.7639,0,24,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06033000100,CA00_UPPER LAKE,06033000100,CA,27,34035,"1,261:1",100,5655,22467,6313,5.8,65.24,18.33,17330,17105,50.33,49.67,1.22,17.06,98.78,82.94,18.71,81.29,5310,1347,387,52,8939,891,15.36,37.73,42.1823,14484,34435,0.74,0.7138,22,22,27,2,5,4,0,1,11,6,24.9,63.8885,1565.2273,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
